[SLURM] job=261977 node=25a-hgpn035 part=dev dataset=model_II
[SLURM] python=/usr/bin/python3
env ok torch 2.8.0+cu128
GPU 0: NVIDIA H200 (UUID: GPU-1a91c6d0-9adf-4639-5b66-6eb87db226da)
[22:26:07] done: quantum model_II seed42
[22:26:07] done: quantum model_II seed45
[22:26:08] done: quantum model_II seed43
[22:26:08] done: quantum model_II seed44
[22:27:00] done: quantum model_II seed48
[22:27:00] done: quantum model_II seed47
[22:27:01] done: quantum model_II seed49
[22:27:03] done: quantum model_II seed46
[22:27:56] done: quantum model_II seed51
[22:27:56] done: quantum model_II seed53
[22:28:04] done: quantum model_II seed52
[22:28:08] done: quantum model_II seed50
[22:29:05] done: quantum model_II seed55
[22:29:05] done: quantum model_II seed54
[22:29:05] done: quantum model_II seed56
[22:29:06] done: quantum model_II seed57
[22:30:28] done: quantum model_II seed58
[22:30:28] done: quantum model_II seed60
[22:30:28] done: quantum model_II seed59
[22:30:29] done: quantum model_II seed61
[22:31:44] done: scramble model_II seed43
[22:31:44] done: scramble model_II seed44
[22:31:45] done: scramble model_II seed45
[22:31:45] done: scramble model_II seed42
[22:32:47] done: scramble model_II seed49
[22:32:47] done: scramble model_II seed47
[22:32:48] done: scramble model_II seed46
[22:32:48] done: scramble model_II seed48
[22:34:04] done: scramble model_II seed50
[22:34:04] done: scramble model_II seed53
[22:34:04] done: scramble model_II seed51
[22:34:04] done: scramble model_II seed52
[22:35:17] done: scramble model_II seed54
[22:35:18] done: scramble model_II seed55
[22:35:18] done: scramble model_II seed57
[22:35:18] done: scramble model_II seed56
[22:36:21] done: scramble model_II seed61
[22:36:21] done: scramble model_II seed60
[22:36:21] done: scramble model_II seed58
[22:36:23] done: scramble model_II seed59
[22:37:33] done: dct model_II seed43
[22:37:33] done: dct model_II seed44
[22:37:33] done: dct model_II seed42
[22:37:33] done: dct model_II seed45
[22:38:47] done: dct model_II seed48
[22:38:47] done: dct model_II seed46
[22:38:49] done: dct model_II seed49
[22:38:49] done: dct model_II seed47
[22:40:06] done: dct model_II seed50
[22:40:36] done: dct model_II seed51
[22:40:36] done: dct model_II seed53
[22:40:36] done: dct model_II seed52
[22:41:49] done: dct model_II seed54
[22:41:49] done: dct model_II seed55
[22:41:51] done: dct model_II seed57
[22:41:54] done: dct model_II seed56
[22:42:40] done: dct model_II seed59
[22:42:40] done: dct model_II seed60
[22:42:40] done: dct model_II seed61
[22:42:40] done: dct model_II seed58
[22:43:44] done: conv model_II seed45
[22:43:45] done: conv model_II seed43
[22:43:45] done: conv model_II seed44
[22:43:45] done: conv model_II seed42
[22:45:08] done: conv model_II seed47
[22:45:08] done: conv model_II seed48
[22:45:08] done: conv model_II seed49
[22:45:09] done: conv model_II seed46
[22:45:59] done: conv model_II seed51
[22:45:59] done: conv model_II seed50
[22:46:00] done: conv model_II seed52
[22:46:00] done: conv model_II seed53
[22:47:10] done: conv model_II seed54
[22:47:10] done: conv model_II seed57
[22:47:10] done: conv model_II seed55
[22:47:10] done: conv model_II seed56
[22:47:58] done: conv model_II seed60
[22:47:59] done: conv model_II seed58
[22:47:59] done: conv model_II seed61
[22:47:59] done: conv model_II seed59
[SWEEP DONE] model_II: 80 runs launched, results in results_qpe_model_II.jsonl
