[SLURM] job=291060 node=25a-hgpn007 part=dev dataset=model_II
[SLURM] python=/usr/bin/python3
env ok torch 2.8.0+cu128
GPU 0: NVIDIA H200 (UUID: GPU-5bafd13e-e706-c9cb-eea3-7cbd776028e5)
[21:30:09] done: quantum model_II N100 seed43
[21:31:14] done: quantum model_II N100 seed42
[21:31:15] done: quantum model_II N100 seed44
[21:31:15] done: quantum model_II N100 seed45
[21:31:22] done: quantum model_II N100 seed46
[21:33:03] done: quantum model_II N100 seed48
[21:33:07] done: quantum model_II N100 seed49
[21:33:07] done: quantum model_II N100 seed47
[21:33:13] done: quantum model_II N100 seed50
[21:34:06] done: quantum model_II N100 seed51
[21:34:10] done: quantum model_II N100 seed52
[21:34:10] done: quantum model_II N100 seed53
[21:34:15] done: quantum model_II N100 seed54
[21:35:24] done: quantum model_II N100 seed55
[21:35:26] done: quantum model_II N100 seed57
[21:35:27] done: quantum model_II N100 seed56
[21:35:32] done: quantum model_II N100 seed58
[21:36:48] done: quantum model_II N100 seed60
[21:36:48] done: quantum model_II N100 seed59
[21:36:49] done: quantum model_II N100 seed61
[21:36:49] done: skew48 model_II N100 seed42
[21:37:52] done: skew48 model_II N100 seed44
[21:37:53] done: skew48 model_II N100 seed45
[21:37:53] done: skew48 model_II N100 seed46
[21:37:54] done: skew48 model_II N100 seed43
[21:39:49] done: skew48 model_II N100 seed47
[21:40:30] done: skew48 model_II N100 seed48
[21:40:30] done: skew48 model_II N100 seed49
[21:40:40] done: skew48 model_II N100 seed50
[21:40:52] done: skew48 model_II N100 seed51
[21:41:23] done: skew48 model_II N100 seed52
[21:41:23] done: skew48 model_II N100 seed53
[21:41:27] done: skew48 model_II N100 seed54
[21:41:37] done: skew48 model_II N100 seed55
[21:42:10] done: skew48 model_II N100 seed57
[21:42:12] done: skew48 model_II N100 seed56
[21:42:16] done: skew48 model_II N100 seed58
[21:42:21] done: skew48 model_II N100 seed59
[21:43:02] done: skew48 model_II N100 seed60
[21:43:05] done: skew48 model_II N100 seed61
[21:43:09] done: butterfly model_II N100 seed42
[21:43:13] done: butterfly model_II N100 seed43
[21:43:51] done: butterfly model_II N100 seed44
[21:43:55] done: butterfly model_II N100 seed45
[21:44:02] done: butterfly model_II N100 seed46
[21:44:05] done: butterfly model_II N100 seed47
[21:45:35] done: butterfly model_II N100 seed48
[21:46:11] done: butterfly model_II N100 seed49
[21:46:12] done: butterfly model_II N100 seed51
[21:46:12] done: butterfly model_II N100 seed50
[21:46:37] done: butterfly model_II N100 seed52
[21:47:33] done: butterfly model_II N100 seed53
[21:47:35] done: butterfly model_II N100 seed54
[21:47:35] done: butterfly model_II N100 seed55
[21:47:39] done: butterfly model_II N100 seed56
[21:51:52] done: butterfly model_II N100 seed58
[21:51:53] done: butterfly model_II N100 seed57
[21:51:55] done: butterfly model_II N100 seed60
[21:51:58] done: butterfly model_II N100 seed59
[21:52:42] done: cayley model_II N100 seed42
[21:52:46] done: butterfly model_II N100 seed61
[21:52:47] done: cayley model_II N100 seed43
[21:52:49] done: cayley model_II N100 seed44
[21:53:32] done: cayley model_II N100 seed45
[21:53:37] done: cayley model_II N100 seed47
[21:53:37] done: cayley model_II N100 seed46
[21:53:40] done: cayley model_II N100 seed48
[21:54:23] done: cayley model_II N100 seed49
[21:54:29] done: cayley model_II N100 seed50
[21:54:30] done: cayley model_II N100 seed51
[21:54:31] done: cayley model_II N100 seed52
[21:55:01] done: cayley model_II N100 seed53
[21:55:23] done: cayley model_II N100 seed54
[21:55:49] done: cayley model_II N100 seed55
[21:55:55] done: cayley model_II N100 seed56
[21:57:06] done: cayley model_II N100 seed57
[21:57:07] done: cayley model_II N100 seed58
[21:57:11] done: cayley model_II N100 seed59
