[SLURM] job=291061 node=25a-hgpn007 part=dev dataset=model_III
[SLURM] python=/usr/bin/python3
env ok torch 2.8.0+cu128
GPU 0: NVIDIA H200 (UUID: GPU-a67a44e9-0c62-0cc9-7a6a-7b8f49181812)
[21:31:15] done: quantum model_III N100 seed45
[21:31:16] done: quantum model_III N100 seed42
[21:31:17] done: quantum model_III N100 seed43
[21:31:18] done: quantum model_III N100 seed44
[21:33:05] done: quantum model_III N100 seed46
[21:33:06] done: quantum model_III N100 seed47
[21:33:10] done: quantum model_III N100 seed49
[21:33:11] done: quantum model_III N100 seed48
[21:34:09] done: quantum model_III N100 seed51
[21:34:09] done: quantum model_III N100 seed50
[21:34:14] done: quantum model_III N100 seed52
[21:34:14] done: quantum model_III N100 seed53
[21:35:25] done: quantum model_III N100 seed55
[21:35:26] done: quantum model_III N100 seed54
[21:35:31] done: quantum model_III N100 seed57
[21:35:32] done: quantum model_III N100 seed56
[21:36:47] done: quantum model_III N100 seed58
[21:36:48] done: quantum model_III N100 seed59
[21:36:57] done: quantum model_III N100 seed60
[21:36:57] done: quantum model_III N100 seed61
[21:37:47] done: skew48 model_III N100 seed42
[21:37:47] done: skew48 model_III N100 seed43
[21:37:56] done: skew48 model_III N100 seed44
[21:37:56] done: skew48 model_III N100 seed45
[21:38:32] done: skew48 model_III N100 seed47
[21:38:32] done: skew48 model_III N100 seed46
[21:40:57] done: skew48 model_III N100 seed48
[21:40:57] done: skew48 model_III N100 seed49
[21:41:01] done: skew48 model_III N100 seed51
[21:41:01] done: skew48 model_III N100 seed50
[21:41:49] done: skew48 model_III N100 seed53
[21:41:49] done: skew48 model_III N100 seed52
[21:41:54] done: skew48 model_III N100 seed54
[21:41:54] done: skew48 model_III N100 seed55
[21:42:41] done: skew48 model_III N100 seed57
[21:42:41] done: skew48 model_III N100 seed56
[21:42:47] done: skew48 model_III N100 seed59
[21:42:47] done: skew48 model_III N100 seed58
[21:43:30] done: skew48 model_III N100 seed60
[21:43:34] done: skew48 model_III N100 seed61
[21:43:39] done: butterfly model_III N100 seed43
[21:43:39] done: butterfly model_III N100 seed42
[21:44:22] done: butterfly model_III N100 seed44
[21:44:28] done: butterfly model_III N100 seed45
