idx,true_label,true_name,pred_label,pred_name,correct,p_axion,p_cdm,p_no_sub,img_mean,img_std,img_max,img_snr
0,1,cdm,1,cdm,1,0.2112,0.7887,0.0001,0.0281,0.0963,1.0000,10.39
1,1,cdm,1,cdm,1,0.1278,0.8721,0.0002,0.0235,0.0833,1.0000,12.00
2,0,axion,0,axion,1,0.9759,0.0240,0.0001,0.0249,0.0865,1.0000,11.56
3,0,axion,1,cdm,0,0.0820,0.9175,0.0005,0.0371,0.1188,1.0000,8.42
4,2,no_sub,2,no_sub,1,0.0068,0.1781,0.8151,0.0227,0.0803,1.0000,12.46
5,1,cdm,0,axion,0,0.6186,0.3813,0.0001,0.0233,0.0851,1.0000,11.75
6,1,cdm,1,cdm,1,0.0136,0.9055,0.0809,0.0351,0.1134,1.0000,8.82
7,2,no_sub,1,cdm,0,0.0080,0.4961,0.4959,0.0336,0.1103,1.0000,9.07
8,1,cdm,1,cdm,1,0.1636,0.8358,0.0006,0.0248,0.0882,1.0000,11.34
9,0,axion,0,axion,1,0.9857,0.0142,0.0001,0.0205,0.0782,1.0000,12.79
10,1,cdm,1,cdm,1,0.0498,0.9470,0.0033,0.0460,0.1506,1.0000,6.64
11,1,cdm,1,cdm,1,0.1065,0.8751,0.0183,0.0233,0.0831,1.0000,12.03
12,0,axion,1,cdm,0,0.3622,0.6377,0.0001,0.0250,0.0875,1.0000,11.43
13,0,axion,0,axion,1,0.9943,0.0056,0.0001,0.0241,0.0828,1.0000,12.08
14,0,axion,0,axion,1,0.9974,0.0024,0.0003,0.0282,0.0933,1.0000,10.72
15,1,cdm,1,cdm,1,0.0964,0.9034,0.0002,0.0252,0.0879,1.0000,11.38
16,1,cdm,1,cdm,1,0.1046,0.8951,0.0003,0.0269,0.0895,1.0000,11.18
17,0,axion,0,axion,1,0.9706,0.0293,0.0001,0.0256,0.0905,1.0000,11.05
18,0,axion,1,cdm,0,0.1575,0.8422,0.0003,0.0346,0.1125,1.0000,8.89
19,2,no_sub,2,no_sub,1,0.0020,0.1307,0.8674,0.0411,0.1330,1.0000,7.52
20,2,no_sub,2,no_sub,1,0.0014,0.0618,0.9368,0.0300,0.0992,1.0000,10.08
21,2,no_sub,2,no_sub,1,0.0025,0.0791,0.9184,0.0273,0.0922,1.0000,10.84
22,1,cdm,1,cdm,1,0.0674,0.9322,0.0004,0.0382,0.1212,1.0000,8.25
23,0,axion,0,axion,1,0.9968,0.0031,0.0001,0.0340,0.1093,1.0000,9.15
24,2,no_sub,2,no_sub,1,0.0039,0.1811,0.8149,0.0291,0.0997,1.0000,10.03
25,0,axion,0,axion,1,0.9491,0.0508,0.0001,0.0246,0.0888,1.0000,11.26
26,0,axion,0,axion,1,0.9877,0.0123,0.0001,0.0264,0.0892,1.0000,11.21
27,0,axion,0,axion,1,0.9962,0.0036,0.0002,0.0275,0.0917,1.0000,10.90
28,0,axion,0,axion,1,0.9927,0.0072,0.0001,0.0363,0.1170,1.0000,8.55
29,2,no_sub,2,no_sub,1,0.0042,0.2367,0.7591,0.0466,0.1540,1.0000,6.49
30,0,axion,0,axion,1,0.9984,0.0014,0.0002,0.0422,0.1356,1.0000,7.37
31,2,no_sub,2,no_sub,1,0.0029,0.1460,0.8511,0.0347,0.1130,1.0000,8.85
32,0,axion,1,cdm,0,0.1806,0.8185,0.0009,0.0216,0.0809,1.0000,12.36
33,2,no_sub,2,no_sub,1,0.0037,0.0903,0.9060,0.0233,0.0837,1.0000,11.95
34,2,no_sub,2,no_sub,1,0.0085,0.4320,0.5595,0.0312,0.1038,1.0000,9.63
35,0,axion,0,axion,1,0.9983,0.0013,0.0005,0.0390,0.1260,1.0000,7.94
36,0,axion,0,axion,1,0.9778,0.0221,0.0001,0.0256,0.0892,1.0000,11.21
37,2,no_sub,2,no_sub,1,0.0036,0.0708,0.9256,0.0208,0.0777,1.0000,12.86
38,1,cdm,1,cdm,1,0.0461,0.9530,0.0009,0.0296,0.0976,1.0000,10.24
39,0,axion,1,cdm,0,0.2063,0.7935,0.0002,0.0280,0.0955,1.0000,10.47
40,0,axion,0,axion,1,0.9979,0.0019,0.0001,0.0467,0.1528,1.0000,6.54
41,2,no_sub,2,no_sub,1,0.0072,0.2111,0.7817,0.0262,0.0919,1.0000,10.88
42,2,no_sub,2,no_sub,1,0.0026,0.0993,0.8981,0.0334,0.1090,1.0000,9.18
